path,sentence,speaker_id,chapter_id,id,count,file_name
211-122425-0000.wav,DO YOU KNOW THAT HIS EMINENCE HAS BEEN MAKING FRESH COMPLAINTS AGAINST YOUR MUSKETEERS,211,122425,211-122425-0000,166,211-122425-0000.wav
211-122425-0001.wav,AH THESE MUSKETEERS OF YOURS ARE VERY DEVILS FELLOWS TO BE HANGED NO SIRE REPLIED TREVILLE WHO SAW AT THE FIRST GLANCE HOW THINGS WOULD GO ON THE CONTRARY THEY ARE GOOD CREATURES AS MEEK AS LAMBS AND HAVE BUT ONE DESIRE,211,122425,211-122425-0001,166,211-122425-0001.wav
211-122425-0002.wav,I'LL BE THEIR WARRANTY AND THAT IS THAT THEIR SWORDS MAY NEVER LEAVE THEIR SCABBARDS BUT IN YOUR MAJESTY'S SERVICE BUT WHAT ARE THEY TO DO,211,122425,211-122425-0002,166,211-122425-0002.wav
211-122425-0003.wav,WOULD NOT ONE SAY HE WAS SPEAKING OF A RELIGIOUS COMMUNITY IN TRUTH MY DEAR CAPTAIN,211,122425,211-122425-0003,166,211-122425-0003.wav
211-122425-0004.wav,AND BY AND BY BY AND BY WE WILL SEE AH SIRE IT IS BECAUSE I CONFIDE IN THAT JUSTICE THAT I SHALL WAIT PATIENTLY AND QUIETLY THE GOOD PLEASURE OF YOUR MAJESTY,211,122425,211-122425-0004,166,211-122425-0004.wav
211-122425-0005.wav,THE KING THEREFORE AROSE A MINUTE AFTER AND PUTTING THE MONEY WHICH LAY BEFORE HIM INTO HIS POCKET,211,122425,211-122425-0005,166,211-122425-0005.wav
211-122425-0006.wav,LA VIEUVILLE SAID HE TAKE MY PLACE,211,122425,211-122425-0006,166,211-122425-0006.wav
211-122425-0007.wav,AH I HAD EIGHTY LOUIS BEFORE ME PUT DOWN THE SAME SUM SO THAT THEY WHO HAVE LOST MAY HAVE NOTHING TO COMPLAIN OF JUSTICE BEFORE EVERYTHING,211,122425,211-122425-0007,166,211-122425-0007.wav
211-122425-0008.wav,YES SIRE AS THEY ALWAYS DO AND HOW DID THE THING HAPPEN LET US SEE FOR YOU KNOW MY DEAR CAPTAIN A JUDGE MUST HEAR BOTH SIDES GOOD LORD IN THE MOST SIMPLE AND NATURAL MANNER POSSIBLE,211,122425,211-122425-0008,166,211-122425-0008.wav
211-122425-0009.wav,AND WHO HAVE I DARE AFFIRM TO THE KING HIS SERVICE MUCH AT HEART THREE OF MY BEST SOLDIERS I SAY,211,122425,211-122425-0009,166,211-122425-0009.wav
211-122425-0010.wav,HAD MADE A PARTY OF PLEASURE WITH A YOUNG FELLOW FROM GASCONY WHOM I HAD INTRODUCED TO THEM THE SAME MORNING THE PARTY WAS TO TAKE PLACE AT SAINT GERMAIN I BELIEVE AND THEY HAD APPOINTED TO MEET AT THE CARMES DESCHAUX WHEN THEY WERE DISTURBED BY DE JUSSAC CAHUSAC,211,122425,211-122425-0010,166,211-122425-0010.wav
211-122425-0011.wav,WHO CERTAINLY DID NOT GO THERE IN SUCH A NUMEROUS COMPANY WITHOUT SOME ILL INTENTION AGAINST THE EDICTS AH AH YOU INCLINE ME TO THINK SO SAID THE KING THERE IS NO DOUBT THEY WENT THITHER TO FIGHT THEMSELVES I DO NOT ACCUSE THEM SIRE,211,122425,211-122425-0011,166,211-122425-0011.wav
